dia	mes	agno	personaje	texto
4	4	2021	94	4 de abril de 1868. Va néixer la matemàtica Philippa Garrett Fawcett. Va guanyar una beca a la Universitat de Cambridge gràcies al seu extraordinari èxit en el Mathematical Tripos (1890). Va investigar sobre dinàmica de fluids.
5	4	2021	95	5 de abril de 1952. Va néixer el químic Venki Ramakrishnan. Va rebre el Premi Nobel per l'estudi de l'estructura i la funció del ribosoma.
6	4	2021	96	6 de abril de 1846. Va néixer Antonio Machado i Álvarez o "Demófilo", pare dels poetes Antonio i Manuel Machado. Va ser un dels primers folkloristes que va estudiar científicament el flamenc.
7	4	2021	97	7 de abril de 1995. Inauguració de la Domus de A Coruña, el primer museu interactiu de caràcter científic que tracta l'ésser humà d'una manera global i monogràfica.
8	4	2021	98	8 de abril de 1911. Va néixer el químic Melvin Calvin. Va rebre el Premi Nobel de Química pels seus treballs sobre l'assimilació del CO2 per les plantes.
9	4	2021	99	9 de abril de 1860. L'inventor Eduard León Scott de Martinville va realitzar la primera gravació coneguda de la veu humana. Era una veu soprano que interpretava la cançó Au clair de la Lune.
10	4	2021	100	10 de abril de 2011. Un estudi de l'IGME, CIATF i les Universitats Complutense i de Lisboa va descobrir dipòsits de tsunamis a Tenerife. Els tsunamis van provocar onades de més de 50 metres d'altura i van estar associats a la destrucció de l'edifici volcànic de Las Cañadas, anterior a l'actual Teide.
11	4	2021	101	11 de abril de 2013. Es descobreix que escoltar sons durant el son, en intervals de temps controlats, pot millorar la memòria.
12	4	2021	102	12 de abril de 1961. Yuri Gagarin es va convertir en el primer ésser humà en viatjar a l'espai. Ho va fer a bord de la nau soviètica Vostok 1.
13	4	2021	103	13 de abril de 2014. L'expedició Subvent de l'IGME va descobrir grans bancs de musclos quimiosintètics al voltant de deus de metà al Golf de Cadis. També va descobrir nous volcans submarins a Lanzarote.
14	4	2021	104	14 de abril de 1977. Rosemary Hutton va publicar un article sobre com la conductivitat elèctrica de les roques pot usar-se per investigar la història geològica.
15	4	2021	105	15 de abril de 1452. Va néixer Leonardo da Vinci, pintor, escultor, inventor, enginyer i arquitecte del Renaixement.
16	4	2021	106	16 de abril de 1921. Isaac Carasso va sol·licitar la patent per a l'elaboració d'una llet quallada anomenada comunament iogurt. Va batejar a la seva empresa Danone, pel diminutiu del nom del seu fill Daniel (Danón).
17	4	2021	107	17 de abril de 1887. Va néixer Clodomiro Picado. Va ser pioner en la investigació sobre serps i els seus verins. També va ser un dels precursors del descobriment de la penicil·lina.
18	4	2021	108	18 de abril de 1917. Va néixer la psicòloga Mamie Phipps Clark. Va treballar en la comprensió del desenvolupament de la consciència social en nens preescolars.
19	4	2021	109	19 de abril de 1946. Va néixer la química María Vallet Regí. És experta en el camp dels biomaterials amb aplicacions en traumatologia, odontologia o enginyeria tissular.
20	4	2021	110	20 de abril de 2017. Bryan Keith Holland va dipositar la seva tesi doctoral sobre els microARN de l'VIH. És més conegut pel seu sobrenom Dexter i per ser el cantant i guitarrista de la banda punk rock The Offsprings.
21	4	2021	111	21 de abril de 1838. Va néixer el conservacionista John Muir. Va defensar l'establiment dels parcs nacionals Sequonia i Yosemite.
22	4	2021	112	22 de abril de 1999. Obertura de la Casa de las Ciencias de Logroño. Aquest centre està dedicat a la divulgació de la cultura de la ciència i la tecnologia, a través d'exposicions, conferències, cursos, projeccions i demostracions científiques.
23	4	2021	113	23 de abril de 1933. Va néixer la informàtica Annie J. Easley. Va treballar en el Lewis Research Center de la NASA. Va formar part de l'equip que va desenvolupar el software del coet Centauro.
24	4	2021	114	24 de abril de 2013. IBM va desenvolupar un robot que combina telepresència i tecnologies de realitat augmentada per ajudar en projectes d'enginyeria en àrees remotes.
25	4	2021	115	25 de abril de 1945. Va néixer l'embriòloga Jean Marian Purdy. Va ser una de les responsables del desenvolupament de la fecundació in vitro.
26	4	2021	116	26 de abril de 1927. Va néixer la biòloga Anne McLaren. Va ser pionera en l'estudi de la biologia del desenvolupament. El seu treball va ajudar a desenvolupar la tècnica de fertilització in vitro.
27	4	2021	117	27 de abril de 1993. El trombonista John Kenny va ser el primer que va fer sonar un carnyx des de l'època celta. Per a això, va utilitzar una reconstrucció del carnyx de Deskford realitzada pel musicòleg John Purser i l'orfebre ohn Creed. L'instrument original i la reconstrucció es mostren al Museu Nacional d'Escòcia.
28	4	2021	118	28 de abril de 1932. Es va descobrir la vacuna contra la febre groga.
29	4	2021	119	29 de abril de 1894. Va néixer la física Marietta Blau. Va ser pionera en el registre i la identificació de partícules atòmiques mitjançant plaques d'emulsions fotogràfiques. El seu treball va contribuir a entendre millor les reaccions nuclears.
30	4	2021	120	30 de abril de 2010. Investigadors de l'IGME localitzen en mapes de segle XVIII i XIX un aiguamoll que havia desaparegut del registre històric.
