dia	mes	agno	personaje	texto
22	4	2021	112	22 de abril de 1999. Apertura da Casa das Ciencias de Logroño. Este centro está dedicado á divulgación da cultura da ciencia e a tecnoloxía, a través de exposicións, relatorios, cursos, proxeccións e demostracións científicas.
23	4	2021	113	23 de abril de 1933. Naceu a informática Annie J. Easley. Traballou no Lewis Research Center da NASA. Formou parte do equipo que desenvolveu o sóftware do foguete Centauro.
24	4	2021	114	24 de abril de 2013. IBM desenvolveu un robot que combina telepresenza e tecnoloxías de realidade aumentada para axudar en proxectos de enxeñaría en áreas remotas.
25	4	2021	115	25 de abril de 1945. Naceu a embrióloga Jean Marian Purdy. Foi unha das responsables do desenvolvemento da fecundación in vitro.
26	4	2021	116	26 de abril de 1927. Naceu a bióloga Anne McLaren. Foi pioneira no estudo da bioloxía do desenvolvemento. O seu traballo axudou a desenvolver a técnica de fertilización in vitro.
27	4	2021	117	27 de abril de 1993. O trombonista John Kenny foi o primeiro en facer soar un carnyx desde a época celta. Para iso, empregou unha reconstrución do carnyx de Deskford realizada polo musicólogo John Purser e o ouriveiro John Creed. O instrumento orixinal e a reconstrución móstranse no Museo Nacional de Escocia.
28	4	2021	118	28 de abril de 1932. Descubriuse a vacina contra a febre amarela.
29	4	2021	119	29 de abril de 1894. Naceu a física Marietta Blau. Foi a pioneira no rexistro e identificación de partículas atómicas mediante placas de emulsións fotográficas. O seu traballo contribuíu a entender mellor as reaccións nucleares.
30	4	2021	120	30 de abril de 2010. Investigadores do IGME localizan en mapas do século XVIII e XIX unha zona húmida que desaparecera do rexistro histórico.
1	5	2021	121	1 de maio de 2013. Arrancou o proxecto EMTASY para determinar o mecanismo que posiciona o corazón á esquerda. Foi dirixido por Ángela Nieto Toledano e axudou a entender moitas malformacións conxénitas.
2	5	2021	122	2 de maio de 1997. O equipo científico de Atapuerca obtivo o Premio Príncipe de Asturias de Investigación Científica e Técnica polo descubrimento do Homo antecessor. Este homínido viviu en Europa hai 800.000 anos.
3	5	2021	123	3 de maio de 1910. Naceu a arqueóloga Anne Strachan Robertson. É coñecida polos seus estudos do muro de Antonino e as moedas imperiais romanas.
4	5	2021	124	4 de maio de 1825. Naceu o biólogo Thomas Huxley. Foi o primeiro en suxerir que as aves evolucionaron a partir dos dinosauros.
5	5	2021	125	5 de maio de 1882. Naceu o médico e científico español Pío del Río Ortega. Descubriu a microglía, un tipo de célula do sistema nervioso.
6	5	2021	126	6 de maio de 1840. Saíu á venda o primeiro selo adhesivo. Tiña o perfil da raíña Vitoria do Reino Unido e era recoñecido como o penny black.
7	5	2021	127	7 de maio de 1954. Comezou a construción da ponte Mackinac en Michigan. No seu momento foi a ponte colgante máis longa do mundo.
8	5	2021	128	8 de maio de 1980. A OMS certificou a erradicación da varíola. Este fito acadouse grazas á vacinación.
9	5	2021	129	9 de maio de 1882. William H. Ford patentou o deseño dun estetoscopio coa forma que aínda se usa na actualidade.
10	5	2021	130	10 de maio de 1888. Naceu a hematóloga Lucy Wills. Descubriu un factor nutricional no lévedo que prevén e sanda a anemia macrocítica no embarazo. Coñécese como o factor de Wills ou folato, a forma natural do ácido fólico.
11	5	2021	131	11 de maio de 2011. Tivo lugar un terremoto en Lorca (Murcia) cunha magnitude de 5,2 Mw. Causou un grande impacto, con 9 vítimas mortais e cuantiosos danos materiais.
12	5	2021	132	12 de maio de 1910. Naceu a Premio Nobel Dorothy Crowfoot Hodgkin. Determinou a estrutura 3D de moléculas como a penicilina ou a insulina. A estrutura 3D é clave para entendermos as funcións.
13	5	2021	133	13 de maio de 1857. Naceu o bacteriólogo Ronald Ross. Descubriu que a malaria se transmite polo mosquito Anopheles.
14	5	2021	134	14 de maio de 1899. Naceu a bióloga Charlotte Auerbach. Especializouse en zooloxía e xenética, e contribuíu ao descubrimento da mutaxénese e dos seus efectos. Fíxose célebre en 1942 cando puxo de manifesto, xunto con Alfred Joseph Clark e J. M. Robson, que o gas mostaza podía causar mutacións.
15	5	2021	135	15 de maio de 1925. Naceu a xenetista Mary Frances Lyon. Descubriu a lionización, un fenómeno mediante o cal se inactiva unha das dúas copias do cromosoma X nas células das femias mamíferas.
16	5	2021	136	16 de maio de 1919. Naceu o oceanógrafo e ecólogo Ramón Margalef. Introduciu a Teoría da información en ecoloxía e mais o índice de Shannon-Weaver como medida de diversidade.
17	5	2021	137	17 de maio de 1749. Naceu o inmunólogo Edward Jenner. Logrou a primeira vacina da historia, concretamente contra a varíola.
18	5	2021	138	18 de maio de 2012. Celebrouse o primeiro Día Internacional da Fascinación polas Plantas. O seu obxectivo é recoñecer a importancia das plantas na nosa vida, grazas á produción de alimentos para persoas e animais, papel, madeira, enerxía e produtos farmacéuticos.
19	5	2021	139	19 de maio de 2014. A NASA comezou a construción do robot espacial InSight, que aterrou en Marte en 2018.
20	5	2021	140	20 de maio de 1900. Naceu a química e física Erika Cremer. Foi pioneira en cromatografía de gases. Porén, o seu artigo de 1944 acerca do seu método non se chegou a publicar porque un bombardeo destruíu as probas de imprenta na revista Naturwissenschaften.
21	5	2021	141	21 de maio de 1921. Naceu o físico Andréi Sájarov. Participou no desenvolvemento de bombas atómicas nos anos cincuenta do século pasado. Posteriormente, loitou contra a proliferación de armas nucleares e foi galardoado co Premio Nobel da Paz en 1975.
22	5	2021	142	22 de maio de 1960. Tivo lugar o Gran Terremoto de Chile. É o terremoto de maior magnitude que se leva rexistrado (9,5 en potencia de magnitude de momento). Provocou maremotos que chegaron a Hawai, Xapón e Rusia, e a erupción do volcán Puyehue.
23	5	2021	143	23 de maio de 1954. Naceu o biólogo Keith Campbell. Foi unha persoa clave do equipo que clonou a ovella Dolly no Instituto Roslin de Edimburgo.
24	5	2021	144	24 de maio de 1878. Naceu a psicóloga e enxeñeira Lillian Moller Gilbreth. É coñecida polo seu traballo na aplicación da organización psicolóxica na industria.
25	5	2021	145	25 de maio de 1880. Naceu o neurólogo Jean Alexandre Barré. Identificou a síndrome de Guillain-Barré, unha doenza neurolóxica rara.
26	5	2021	146	26 de maio de 1872. Naceu Trinidad Arroyo Villaverde. Foi a primeira oftalmóloga española.
27	5	2021	147	27 de maio de 1931. Naceu o economista Philip Kotler. É considerado o pai do márketing moderno.
28	5	2021	148	28 de maio de 1912. Naceu a astrónoma Ruby Violet Payne-Scott. Estudou a influencia do campo magnético da Terra e as erupcións solares.
29	5	2021	149	29 de maio de 1826. Naceu o xastre Ebenezer Butterick. Xunto á súa muller, Ellen Augusta Pollard, inventaron e comercializaron os padróns de costura modernos. Tales padróns tiñan graduacións con múltiples talles estándares.
30	5	2021	150	30 de maio de 2021. Día Mundial da Esclerose Múltiple. Celébrase cada ano para compartir historias, concienciar a sociedade e facer campañas con e para todas as persoas afectadas por esta enfermidade.
31	5	2021	151	31 de maio de 1903. O físico Konstantin Tsiolkovsky propuxo por primeira vez que as persoas poderían viaxar ao espazo usando foguetes.
1	6	2021	152	1 de xuño de 1974. A revista Emergency Medicine publicou a manobra de Heimlich. Esta operación permite desbloquear as vías aéreas obstruídas por un obxecto estraño.
2	6	2021	153	2 de xuño de 1911. Os principais xornais fixéronse eco da electrificación do ferrocarril Gergal-Santa Fe de Mondújar. Foi a primeira liña de tren de vía larga electrificada de España.
3	6	2021	154	3 de xuño de 1976. O cosmógrafo Vicente Tofiño de San Miguel observou o paso de Venus polo Sol durante unha eclipse. Publicou unhas anotacións de grande interese científico.
4	6	2021	155	4 de xuño de 1927. Tivo lugar o primeiro voo comercial de pasaxeiros transatlántico. A viaxe produciuse a bordo dun Wright-Bellanca WB-2, desde Estados Unidos ata Alemaña.
5	6	2021	156	5 de xuño de 2002. Presentouse oficialmente a AMIT (Asociación de Mulleres Investigadoras e Tecnólogas). Esta asociación promove o acceso igualitario das mulleres á actividade investigadora en todas as ramas do coñecemento e no sector tecnolóxico.
6	6	2021	157	6 de xuño de 1907. Lanzouse Persil ao mercado. Foi o primeiro deterxente de roupa de acción automática.
7	6	2021	158	7 de xuño de 1886. Naceu o enxeñeiro Henri Coandă. Foi pioneiro da aviación e construíu o primeiro avión accionado por un motor a reacción.
8	6	2021	159	8 de xuño de 2021. Día Mundial dos Océanos. O seu obxectivo é lembrarnos o papel que teñen os océanos na vida cotiá. Eles son os pulmóns do noso planeta e producen a meirande parte do osíxeno que respiramos.
9	6	2021	160	9 de xuño de 1812. Naceu o astrónomo Johann Gottfried Galle. Descubriu Neptuno seguindo os cálculos e indicacións de Urbain Le Verrier.
10	6	2021	161	10 de xuño de 1948. Efectuouse a primeira demostración da televisión en España. Foi durante a Feira Internacional de Mostras de Barcelona.
11	6	2021	162	11 de xuño de 1910. Naceu o oceanógrafo e explorador Jacques-Yves Cousteau. É un dos divulgadores do mundo submarino máis célebres. Gravou numerosas películas e documentais a bordo do seu buque Calypso. Tamén foi unha das primeiras persoas en defender o ambiente mariño fronte á contaminación.
